Bezirk;Kanton;Leichte Motorwagen;Schwere Motorwagen;Anhänger;Landw. FZ Ind. Trak.;Motorräder;Klein-Motorräder;Gewerbe FZ
Bezirk Bucheggberg;SO;6286;51;837;703;936;24;127
Bezirk Dorneck;SO;13452;220;1332;759;2144;53;127
Bezirk Gäu;SO;17446;888;2162;478;1587;275;365
Bezirk Gösgen;SO;15506;147;1306;542;2224;87;178
Bezirk Lebern;SO;30715;290;2005;669;3446;153;333
Bezirk Olten;SO;34842;913;2628;568;4094;140;464
Bezirk Solothurn;SO;10289;71;561;36;889;33;187
Bezirk Thal;SO;10737;152;1453;870;1162;48;188
Bezirk Thierstein;SO;10848;204;1511;698;1717;52;287
Bezirk Wasseramt;SO;35846;318;2657;768;4116;160;399
